Computer Time,Time,Touched ID,S
1714487961597714,16.00318471337575,"(6, 18)",2
1714487961677414,16.082802547770655,"(6, 18)",2
1714487961757049,16.16242038216556,"(5, 19)",2
1714487961836289,16.242038216560466,"(6, 19)",2
1714487961915646,16.321656050955372,"(6, 19)",2
1714487961994890,16.401273885350278,"(6, 19)",2
1714487962074342,16.480891719745184,"(6, 19)",2
1714487962158743,16.56050955414009,"(6, 19)",2
1714487962230696,16.640127388534996,"(6, 19)",2
1714487962317681,16.7197452229299,"(6, 19)",2
1714487962389501,16.799363057324808,"(6, 18)",2
1714487962476488,16.878980891719713,"(6, 18)",2
1714487962548642,16.95859872611462,"(6, 18)",2
1714487962635182,17.038216560509525,"(6, 18)",2
1714487962714135,17.11783439490443,"(6, 18)",2
1714487962788918,17.197452229299337,"(6, 18)",2
1714487962868747,17.277070063694243,"(6, 19)",2
1714487962952620,17.35668789808915,"(6, 18)",2
1714487963026462,17.436305732484055,"(6, 19)",2
1714487963111523,17.51592356687896,"(6, 19)",2
1714487963189422,17.595541401273866,"(6, 19)",2
1714487963268867,17.675159235668772,"(6, 19)",2
1714487963349341,17.75477707006368,"(6, 19)",2
1714487963429391,17.834394904458584,"(6, 18)",2
1714487963583358,17.993630573248396,"(11, 20)",2
1714487963900441,18.31210191082802,"(9, 2)",2
1714487964774589,19.187898089171984,"(6, 14)",2
1714487964853930,19.26751592356689,"(6, 15)",2
1714487964933373,19.347133757961796,"(6, 15)",2
1714487965012930,19.426751592356702,"(5, 15)",2
1714487965092415,19.506369426751608,"(6, 14)",2
1714487965171715,19.585987261146514,"(6, 14)",2
1714487965251274,19.66560509554142,"(6, 15)",2
1714487965967096,20.382165605095572,"(0, 0)",2
1714487967079253,21.496815286624255,"(11, 20)",2
1714487967238479,21.656050955414067,"(11, 20)",2
1714487967322780,21.735668789808972,"(11, 20)",2
1714487967397387,21.81528662420388,"(11, 20)",2
1714487967476836,21.894904458598784,"(11, 20)",2
1714487967556489,21.97452229299369,"(11, 20)",2
1714487967635644,22.054140127388596,"(11, 20)",2
1714487967715125,22.133757961783502,"(11, 20)",2
1714487969940082,24.363057324840867,"(11, 20)",2
1714487970019389,24.442675159235772,"(11, 20)",2
1714487970098966,24.52229299363068,"(11, 20)",2
1714487970178349,24.601910828025584,"(11, 20)",2
1714487970257553,24.68152866242049,"(11, 20)",2
1714487970337067,24.761146496815396,"(11, 20)",2
1714487970416700,24.840764331210302,"(11, 20)",2
1714487970496039,24.920382165605208,"(11, 20)",2
1714487970575688,25.000000000000114,"(11, 20)",2
1714487970654981,25.07961783439502,"(11, 20)",2
1714487970734756,25.159235668789925,"(11, 20)",2
1714487970818959,25.23885350318483,"(11, 20)",2
1714487970891195,25.318471337579737,"(11, 20)",2
1714487970970419,25.398089171974643,"(11, 20)",2
1714487971051663,25.47770700636955,"(11, 20)",2
1714487971137138,25.557324840764455,"(11, 20)",2
1714487971210657,25.63694267515936,"(11, 20)",2
1714487971295891,25.716560509554267,"(11, 20)",2
1714487971370387,25.796178343949173,"(11, 20)",2
1714487971449480,25.87579617834408,"(11, 20)",2
1714487971529351,25.955414012738984,"(11, 20)",2
1714487971608502,26.03503184713389,"(11, 20)",2
1714487971688061,26.114649681528796,"(11, 20)",2
1714487971772129,26.194267515923702,"(11, 20)",2
1714487971851744,26.273885350318608,"(11, 20)",2
1714487971928818,26.353503184713514,"(11, 20)",2
1714487972007761,26.43312101910842,"(11, 20)",2
1714487972086092,26.512738853503325,"(11, 20)",2
1714487972165650,26.59235668789823,"(11, 20)",2
1714487972249441,26.671974522293137,"(11, 20)",2
1714487972328975,26.751592356688043,"(11, 20)",2
1714487972410772,26.83121019108295,"(11, 20)",2
1714487972481656,26.910828025477855,"(11, 20)",2
1714487972563531,26.99044585987276,"(11, 20)",2
1714487972639864,27.070063694267667,"(11, 20)",2
1714487972719350,27.149681528662573,"(11, 20)",2
1714487972798554,27.22929936305748,"(11, 20)",2
1714487972880417,27.308917197452384,"(11, 20)",2
1714487972959598,27.38853503184729,"(11, 20)",2
1714487973039363,27.468152866242196,"(11, 20)",2
1714487973122923,27.547770700637102,"(11, 20)",2
1714487973197038,27.627388535032008,"(11, 20)",2
1714487973276724,27.707006369426914,"(11, 20)",2
1714487973360554,27.78662420382182,"(11, 20)",2
1714487973435561,27.866242038216726,"(11, 20)",2
1714487973519829,27.94585987261163,"(11, 20)",2
1714487973594250,28.025477707006537,"(11, 20)",2
1714487973676895,28.105095541401443,"(11, 20)",2
1714487973758313,28.18471337579635,"(11, 20)",2
1714487974466965,28.901273885350502,"(11, 20)",2
1714487974546563,28.980891719745408,"(11, 20)",2
1714487974625679,29.060509554140314,"(11, 20)",2
1714487974710717,29.14012738853522,"(11, 20)",2
1714487974784581,29.219745222930126,"(11, 20)",2
1714487974870072,29.29936305732503,"(11, 20)",2
1714487974944929,29.378980891719937,"(11, 20)",2
1714487975029773,29.458598726114843,"(11, 20)",2
1714487975101670,29.53821656050975,"(11, 20)",2
1714487990119075,44.5859872611464,"(11, 20)",2
1714487990198664,44.6656050955413,"(11, 20)",2
1714487990279883,44.745222929936205,"(11, 20)",2
1714487990359275,44.82484076433111,"(11, 20)",2
1714487990438723,44.90445859872601,"(11, 20)",2
1714487990518183,44.98407643312091,"(11, 20)",2
1714487990597686,45.063694267515814,"(11, 20)",2
1714487990677346,45.143312101910716,"(11, 20)",2
1714487990756636,45.22292993630562,"(11, 20)",2
1714487990836278,45.30254777070052,"(10, 20)",2
1714487990915580,45.38216560509542,"(10, 20)",2
1714487990999723,45.461783439490326,"(10, 20)",2
1714487991074358,45.54140127388523,"(11, 20)",2
1714487991159336,45.62101910828013,"(11, 20)",2
1714487991231762,45.70063694267503,"(10, 20)",2
1714487991311498,45.780254777069935,"(10, 20)",2
1714487991390902,45.85987261146484,"(10, 20)",2
1714487991472421,45.93949044585974,"(10, 20)",2
1714487991555826,46.01910828025464,"(10, 20)",2
1714487991635884,46.098726114649544,"(10, 20)",2
1714487991708192,46.17834394904445,"(10, 20)",2
1714487991791762,46.25796178343935,"(10, 20)",2
1714487991876197,46.33757961783425,"(10, 20)",2
1714487991946539,46.41719745222915,"(10, 20)",2
1714487992030359,46.496815286624056,"(10, 20)",2
1714487992109767,46.57643312101896,"(10, 20)",2
1714487992189249,46.65605095541386,"(10, 20)",2
1714487992265231,46.73566878980876,"(10, 20)",2
1714487992344831,46.815286624203665,"(10, 20)",2
1714487992424394,46.89490445859857,"(10, 20)",2
1714487992503951,46.97452229299347,"(10, 20)",2
1714487992583617,47.05414012738837,"(10, 20)",2
1714487992662906,47.133757961783274,"(10, 20)",2
1714487992742301,47.21337579617818,"(10, 20)",2
1714487992821831,47.29299363057308,"(11, 20)",2
1714487992901197,47.37261146496798,"(11, 20)",2
1714487992981351,47.452229299362884,"(11, 20)",2
1714487993060845,47.531847133757786,"(11, 20)",2
1714487993145555,47.61146496815269,"(11, 20)",2
1714487993225513,47.69108280254759,"(11, 20)",2
1714487993299920,47.77070063694249,"(11, 20)",2
1714487993379075,47.850318471337395,"(11, 20)",2
1714487993458638,47.9299363057323,"(11, 20)",2
1714487993538060,48.0095541401272,"(11, 20)",2
1714487993612632,48.0891719745221,"(11, 20)",2
1714487993693761,48.168789808917005,"(11, 20)",2
