Computer Time (ms),touch_row,touch_col,type
9853,0,19,2
9923,1,19,2
10006,1,18,2
10090,1,18,2
10170,1,17,2
10243,2,17,2
10330,3,16,2
10410,3,16,2
10486,3,16,2
10558,3,15,2
10638,3,14,2
10717,3,14,2
10802,3,13,2
10884,3,13,2
10963,3,12,2
11037,3,11,2
11116,2,11,2
11209,1,11,2
11284,1,12,2
11358,1,12,2
11438,1,13,2
11521,1,13,2
11601,1,14,2
11673,1,14,2
11754,1,15,2
11840,1,15,2
11918,1,16,2
12078,1,17,2
12153,1,16,2
12238,1,16,2
12317,1,15,2
12394,1,14,2
12471,1,14,2
12550,1,13,2
12630,1,13,2
12709,1,12,2
12790,1,12,2
12873,1,11,2
12950,1,10,2
13027,1,10,2
13106,1,10,2
13186,1,10,2
13265,1,10,2
13344,1,11,2
13424,1,12,2
13504,1,12,2
13583,1,13,2
13667,1,13,2
13747,1,14,2
13821,1,14,2
13901,1,15,2
13980,1,16,2
14059,1,16,2
14139,1,17,2
14219,1,17,2
14299,1,18,2
14378,1,18,2
14458,2,18,2
14536,2,18,2
14616,3,18,2
14695,4,18,2
14775,4,17,2
14852,5,17,2
14938,5,16,2
15018,6,16,2
15099,6,15,2
15176,6,16,2
15252,6,16,2
15336,6,17,2
15415,6,18,2
15489,6,18,2
15568,6,18,2
15651,6,17,2
15730,6,17,2
15810,6,16,2
15889,6,16,2
15968,6,15,2
16048,6,14,2
16128,7,14,2
16199,7,13,2
16289,8,13,2
16368,8,13,2
16443,8,12,2
16522,9,12,2
16607,8,11,2
16687,7,11,2
16765,7,11,2
16840,6,10,2
16920,6,10,2
16999,6,9,2
17079,6,9,2
17164,6,8,2
17242,5,7,2
17322,5,7,2
17396,4,6,2
17481,4,6,2
17559,4,5,2
17634,4,5,2
17799,5,4,2
17953,5,3,2
18032,5,4,2
18112,4,4,2
18191,4,5,2
18270,3,5,2
18355,3,5,2
18435,3,6,2
18509,2,6,2
18588,2,6,2
18673,3,5,2
18752,3,5,2
18830,4,5,2
18905,4,4,2
18985,4,5,2
19064,4,5,2
19150,5,6,2
19229,5,6,2
19308,5,7,2
19382,5,7,2
19461,5,6,2
19544,4,7,2
19624,4,7,2
19782,3,8,2
19861,3,8,2
19942,3,9,2
20021,3,9,2
20100,4,9,2
20171,4,10,2
20262,4,10,2
20341,4,11,2
20416,4,12,2
20495,4,12,2
20575,4,13,2
20654,4,13,2
20733,4,14,2
20813,4,14,2
20892,4,15,2
20972,4,15,2
21051,3,16,2
21131,3,16,2
21211,2,17,2
21291,2,16,2
21369,2,16,2
21449,2,15,2
21528,3,15,2
21608,3,14,2
21687,4,15,2
21763,4,15,2
21849,4,14,2
21930,4,14,2
22011,3,13,2
22088,3,13,2
22164,3,12,2
22248,3,12,2
22328,2,13,2
22404,2,14,2
22484,2,14,2
22566,2,15,2
22645,2,14,2
22725,2,14,2
22804,2,13,2
22879,2,13,2
22958,2,12,2
23038,2,11,2
23118,2,11,2
23197,2,10,2
23280,2,10,2
23355,3,10,2
23435,3,10,2
23514,3,11,2
23598,3,11,2
23678,3,12,2
23755,2,12,2
23835,2,13,2
23915,2,13,2
23994,1,14,2
24073,2,14,2
24153,2,15,2
24232,2,15,2
24312,3,16,2
24391,3,16,2
24470,3,15,2
24551,3,15,2
24630,3,14,2
24709,3,13,2
24789,4,13,2
24868,4,12,2
24948,4,12,2
25027,4,11,2
25106,4,11,2
25188,4,10,2
25265,4,10,2
25339,3,10,2
25424,3,10,2
25502,3,9,2
25582,3,9,2
25661,4,8,2
25746,4,8,2
25817,4,8,2
25899,4,8,2
25977,4,9,2
26057,4,9,2
26137,4,10,2
26216,4,10,2
26296,4,11,2
26375,4,11,2
26455,4,12,2
26534,4,12,2
26610,5,11,2
26697,5,11,2
26778,5,10,2
26854,5,10,2
26937,6,9,2
27015,6,9,2
27087,6,8,2
27170,6,8,2
27249,6,7,2
27335,6,6,2
27411,7,6,2
27485,7,6,2
27568,8,5,2
27647,8,5,2
27727,8,4,2
27806,9,4,2
27885,9,4,2
27965,9,4,2
28048,8,5,2
28127,8,5,2
28202,8,6,2
28286,7,6,2
28365,7,7,2
28440,7,7,2
28519,7,8,2
28599,7,8,2
28678,6,8,2
28763,6,9,2
28841,5,9,2
28922,5,9,2
29001,5,8,2
29084,6,8,2
29154,5,7,2
29240,5,8,2
29318,5,7,2
29393,6,7,2
29473,6,6,2
29552,6,6,2
29637,7,6,2
29716,6,6,2
29795,6,6,2
29874,6,7,2
29949,6,7,2
30030,5,8,2
30108,5,8,2
30188,5,9,2
30267,4,9,2
30346,4,10,2
30427,4,10,2
30506,3,11,2
30585,3,11,2
30669,3,12,2
30751,2,12,2
30828,2,13,2
30902,2,12,2
30981,2,12,2
31143,3,11,2
31226,3,10,2
31304,3,10,2
31380,3,10,2
31459,3,10,2
31539,3,11,2
31618,3,11,2
31698,3,12,2
31777,3,13,2
31856,2,13,2
31937,2,14,2
32020,2,14,2
32099,2,15,2
32174,2,15,2
32258,3,14,2
32338,3,14,2
32413,3,13,2
32492,3,13,2
32571,3,12,2
32651,3,12,2
32730,2,12,2
32809,2,12,2
32889,1,12,2
32969,2,12,2
33048,2,11,2
33127,2,11,2
33207,2,10,2
33286,3,10,2
33366,3,9,2
33445,3,8,2
33528,3,8,2
33600,4,7,2
33689,4,7,2
33766,4,6,2
33840,5,6,2
33924,5,6,2
34004,6,5,2
34083,6,5,2
34162,6,5,2
34242,6,4,2
34321,5,3,2
34401,5,3,2
34559,4,3,2
34639,4,3,2
34714,3,4,2
34801,3,4,2
34958,2,5,2
35119,2,4,2
35358,1,2,2
35512,1,2,2
35670,2,3,2
35749,2,4,2
35829,2,4,2
35908,2,5,2
35987,2,5,2
36067,2,6,2
36146,2,7,2
36226,2,7,2
36305,2,8,2
36385,2,8,2
36464,1,8,2
36623,1,7,2
36703,1,6,2
36782,1,6,2
36863,1,5,2
37020,2,4,2
37100,2,4,2
37179,2,3,2
37259,2,3,2
37338,2,2,2
37418,1,2,2
37502,1,2,2
37582,1,2,2
37662,2,3,2
37736,2,3,2
37815,2,4,2
37894,2,5,2
37974,2,5,2
38054,2,6,2
38134,2,6,2
38212,2,7,2
38291,3,8,2
38371,3,8,2
38451,3,8,2
38530,3,9,2
38614,3,9,2
38694,3,10,2
38773,3,10,2
38848,3,11,2
38932,4,12,2
39011,4,12,2
39086,4,13,2
39164,4,13,2
39250,5,14,2
39329,5,14,2
39409,5,15,2
39484,5,15,2
39563,5,14,2
39642,5,13,2
39722,5,13,2
39801,6,13,2
39880,6,13,2
39960,6,13,2
40039,7,14,2
40119,7,14,2
40199,7,15,2
40272,7,16,2
40362,7,16,2
40437,7,17,2
40516,8,17,2
40596,8,17,2
40675,8,18,2
40755,9,18,2
40834,9,18,2
40913,9,18,2
40993,9,17,2
41072,9,17,2
41152,9,16,2
41231,9,15,2
41310,9,15,2
41390,10,14,2
41470,10,14,2
41549,10,13,2
41629,10,13,2
41708,10,12,2
41788,10,12,2
41867,10,11,2
41946,10,12,2
42026,10,12,2
42105,10,13,2
42185,9,13,2
42266,9,14,2
42344,9,14,2
42423,8,15,2
42503,8,15,2
42587,8,14,2
42666,8,14,2
42741,8,13,2
42826,8,13,2
42903,8,12,2
42977,8,11,2
43061,8,11,2
43140,8,10,2
43220,8,10,2
43299,8,9,2
43379,8,9,2
43458,7,10,2
43537,7,10,2
43617,7,11,2
43696,7,11,2
43776,6,12,2
43858,6,12,2
43938,6,13,2
44016,6,13,2
44091,6,14,2
44172,5,14,2
44255,5,15,2
44336,5,15,2
44414,5,16,2
44489,4,16,2
44568,4,17,2
44648,4,17,2
44728,4,18,2
44812,4,18,2
44890,4,17,2
44965,4,16,2
45044,4,16,2
45124,4,15,2
45203,4,15,2
45282,4,14,2
45362,4,14,2
45442,4,13,2
45527,4,12,2
45606,4,12,2
45686,4,13,2
45766,5,13,2
45844,5,14,2
45919,5,14,2
45999,5,15,2
46086,5,15,2
46161,5,16,2
46242,5,16,2
46322,5,17,2
46401,5,17,2
46475,4,17,2
46555,4,18,2
46639,3,18,2
46719,3,17,2
46798,2,17,2
46876,2,16,2
46957,2,16,2
47037,2,15,2
47115,2,15,2
47190,2,16,2
47266,2,16,2
47354,2,17,2
47508,3,18,2
47587,3,19,2
47667,3,19,2
47751,3,19,2
47830,3,19,2
47905,3,18,2
47985,3,18,2
48064,3,17,2
48144,3,16,2
48223,3,16,2
48307,4,15,2
48389,4,15,2
48466,4,14,2
48545,4,14,2
48620,4,13,2
48700,4,12,2
48780,4,12,2
48859,4,11,2
48938,4,11,2
49018,3,11,2
49097,3,11,2
49177,3,10,2
49256,3,9,2
49340,3,9,2
49415,3,8,2
49496,3,8,2
49574,3,7,2
49653,3,6,2
49738,3,6,2
49818,4,6,2
49897,4,6,2
49969,5,7,2
50048,5,7,2
50132,5,8,2
50213,5,8,2
50289,5,8,2
50367,5,8,2
50446,6,8,2
50526,6,7,2
50605,7,7,2
50686,7,6,2
50764,7,7,2
50842,7,7,2
50929,6,8,2
51003,6,8,2
51083,6,9,2
51162,5,9,2
51241,5,10,2
51321,5,10,2
51401,5,10,2
51480,5,10,2
51559,5,9,2
51639,6,8,2
51718,6,8,2
51804,6,8,2
51878,6,7,2
51963,7,7,2
52037,6,6,2
52116,6,7,2
52196,5,7,2
52272,5,7,2
52359,5,8,2
52439,5,8,2
52513,5,9,2
52599,5,9,2
52676,5,10,2
52752,5,10,2
52837,5,11,2
52914,5,12,2
52991,4,12,2
53070,4,13,2
53149,4,13,2
53227,3,13,2
